Movie,Rating,Year,Runtime
X-Men: Zukunft ist Vergangenheit,8.8,2014,132
Edge of Tomorrow - Live. Die. Repeat,8.7,2014,113
Moon,8.7,2009,97
District 9,8.6,2009,112
Star Trek,8.6,2009,127
The Man from Earth,8.5,2007,87
Iron Man,8.5,2008,126
Cowboy Bebop - Der Film,8.5,2001,115
Children of Men,8.4,2006,109
Brazil,8.4,1985,132
King Kong und die weiße Frau,8.4,1933,100
Star Wars: Rogue One,8.4,2016,133
The First Avenger: Civil War,8.4,2016,147
Baymax - Riesiges Robowabohu,8.3,2014,102
Alles eine Frage der Zeit,8.3,2013,123
Avatar - Aufbruch nach Pandora,8.3,2009,162
Mr. Nobody,8.3,2009,141
Serenity: Flucht in neue Welten,8.3,2005,119
Gattaca,8.3,1997,106
Zurück in die Zukunft II,8.3,1989,108
Predator,8.2,1987,107
Ghostbusters - Die Geisterjäger,8.2,1984,105
E.T. - Der Außerirdische,8.1,1982,115
Der phantastische Planet,8.1,1973,72
Frankensteins Braut,8.1,1935,75
Frankenstein,8.1,1931,70
Deadpool 2,8.1,2018,119
The Return of the First Avenger,8.1,2014,136
Gravity,8.1,2013,91
Star Trek Into Darkness,8.1,2013,132
X-Men: Erste Entscheidung,8.1,2011,131
Paprika,8.0,2006,90
"Das Mädchen, das durch die Zeit sprang",8.0,2006,98
Ex Machina,8.0,2014,108
Vampire Hunter D: Bloodlust,8.0,2000,103
Virtual Nightmare - Open Your Eyes,8.0,1997,119
Das fünfte Element,8.0,1997,126
Star Trek II: Der Zorn des Khan,8.0,1982,113
Die Invasion der Körperfresser,8.0,1956,80
"Der Tag, an dem die Erde stillstand",8.0,1951,85
Der Unsichtbare,8.0,1933,71
Guardians of the Galaxy Vol. 2,8.0,2017,136
Die Unglaublichen 2,8.0,2018,118
Who Am I: Kein System ist sicher,8.0,2014,102
Planet der Affen: Revolution,8.0,2014,130
Planet der Affen: Prevolution,8.0,2011,105
Zombieland,7.9,2009,88
Watchmen: Die Wächter,7.9,2009,162
Butterfly Effect,7.9,2004,113
28 Tage später,7.9,2002,113
