Date,Day,Temperature,summary
2021-03-25,Overnight,27 °C,"Partly cloudy, with a low around 48. West northwest wind 14 to 18 mph, with gusts as high as 32 mph. "
2021-03-25,Thursday,34 °C,"Sunny, with a high near 62. West wind 6 to 16 mph, with gusts as high as 26 mph. "
2021-03-26,Thursday Night,26 °C,"Clear, with a low around 46. West wind 9 to 14 mph becoming light west northwest. Winds could gust as high as 21 mph. "
2021-03-26,Friday,38 °C,"Sunny, with a high near 68. North wind around 8 mph. "
2021-03-27,Friday Night,26 °C,"Clear, with a low around 47. West wind 5 to 8 mph becoming calm  in the evening. "
2021-03-27,Saturday,39 °C,"Sunny, with a high near 70."
2021-03-28,Saturday Night,27 °C,"Clear, with a low around 48."
2021-03-28,Sunday,38 °C,"Sunny, with a high near 68."
2021-03-29,Sunday Night,27 °C,"Mostly clear, with a low around 48."
2021-03-29,Monday,36 °C,"Sunny, with a high near 64."
2021-03-30,Monday Night,26 °C,"Clear, with a low around 47."
2021-03-30,Tuesday,38 °C,"Sunny, with a high near 69."
2021-03-31,Tuesday Night,27 °C,"Clear, with a low around 49."
2021-03-31,Wednesday,40 °C,"Sunny, with a high near 72."
